"Sl. No","App ID","Zip File","App Name","Product","App Features","Expected Folders","Prompt","Functional Requirements","Success Criteria","Expected Platform Features","Complexity","Reference Links","Picked By"
"45","WSHOP-03","","Google Sheets Ticket Logger","Freshdesk
Freshservice","Logs ticket data (requester, subject, status, tags, created date) to a configurable Sheet tab; runs on create and/or update

Goals
- Create a simple ticket log in Google Sheets.
- Support light reporting and auditing without a data warehouse.

User Stories
- As a manager, I want a Sheet of all new tickets for reporting.
- As an auditor, I want a timestamped record of ticket changes.
- As an admin, I want to choose the sheet and tab.","app,config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Google Sheets Ticket Logger. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- OAuth with Google during install (Must)
- Store sheet ID and optional tab name in iparams         (Must)
- Append a row on ticket create: requester, subject, status, priority, tags, created date        (Must)
- Optional logging on ticket update (status/priority change)        
- Columns: Ticket ID, Subject, Requester Email, Status, Priority, Tags, Created At, Link (Must)
- Use Sheets API v4 with OAuth token
- Handle OAuth token refresh","- Each new ticket adds a row to the configured sheet
- All defined columns populated with correct data
- OAuth flow completes and token is refreshed when needed
- App passes fdk validate
- Configurable sheet/tab used correctly","OAuth (Google)
Serverless events
Request templates (Sheets API)
iparams (sheet ID, tab name)","Medium","Sheets API v4
Sheets API Guides
Google OAuth","Dhanjeet"
"46","WSHOP-04","","Universal Webhook Connector","Freshdesk
Freshservice","Sends ticket/contact events to any webhook URL (Zapier, Make, n8n, custom); event type and payload filters

Goals
- Integrate with automation tools using webhooks.
- Work with any service that accepts HTTP webhooks.

User Stories
- As a user, I want ticket events sent to my Zapier/Make/n8n workflows.
- As an admin, I want to choose which events trigger the webhook.
- As a developer, I want a JSON payload I can parse.","config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Universal Webhook Connector. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- Store webhook URL in iparams
- Support events: onTicketCreate, onTicketUpdate (optionally onContactCreate)
- Multi-select event types in iparams
- POST JSON payload with ticket/contact fields and event type
- Payload shape: 
   { 
     eventType, 
     timestamp, 
     ticket: { 
         id,
         subject,
         status,
         priority,
         requester_email 
     }
   }
- Retry on 5xx or network failure (e.g. 2 retries)
- Optional custom headers (e.g. auth) in iparams","- Selected events trigger webhook POST
- Target receives valid JSON with defined structure
- Event type filter matches configuration
- App passes fdk validate
- Retry occurs on failure","Serverless events
Request templates
iparams (webhook URL, event types)","Low","Zapier Webhooks
Make (Integromat) Webhooks
n8n Webhook Node","Annamalai"
"47","WSHOP-05","","GitHub Issue from Ticket","Freshdesk
Freshservice","Creates a GitHub issue from a ticket; optional manual create and link

Goals
- Link support tickets to GitHub issues.
- Reduce manual copy-paste and context loss.

User Stories
- As an agent, I want to create a GitHub issue from a ticket with one click.
- As an engineer, I want ticket details and link in the issue.
- As an admin, I want to choose repo and labels.","app,config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named GitHub Issue from Ticket. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- OAuth with GitHub during install
- Ticket sidebar UI with “Create GitHub Issue” button
- On click: create issue with title = ticket subject, body = description + requester + link
- iparams: default repo (org/repo), optional labels
- Show created issue URL and number in sidebar
- Store issue ID in ticket notes or custom field (optional)
- Loading state and error messaging in UI
- Use Crayons components","- Issue is created with correct title and body
- Ticket link present in issue body
- UI shows success with issue URL
- OAuth flow works and token is used for API calls
- App passes fdk validate
- Error states shown clearly","OAuth (GitHub)
hybrid app
SMI
Request templates
Data Methods
Crayons UI","Medium","GitHub REST API – Issues
GitHub REST API Docs
GitHub OAuth Apps",""
"48","WSHOP-06","","Airtable Ticket Log","Freshdesk
Freshservice","Writes ticket records to an Airtable base; configurable base/table and field mapping

Goals
- Use Airtable as a ticket log and dashboard source.
- Keep setup simple with API key.

User Stories
- As a manager, I want tickets in Airtable for views and filters.
- As an admin, I want to specify base and table.
- As a user, I want no OAuth, just API key.","config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Airtable Ticket Log. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- iparams: API key, base ID, table ID (or name)
- On ticket create, create Airtable record with ticket fields
- Map: 
       Ticket ID → ID field, 
       Subject → Subject, 
       Requester → Email, 
       Status, 
       Priority, 
       Created At
- Optional mapping config for custom field names
- Validate API key and base/table access on install
- Honor Airtable rate limits
- Optional logging on ticket close","- Each new ticket creates an Airtable record
- Field mapping is correct
- Install fails if API key or base/table invalid
- App passes fdk validate
- Rate limits handled without crashes","iparams (API key, base ID, table ID)
Serverless events
Request templates","Medium","Airtable API
Web API Intro
Airtable Developers",""
"49","WSHOP-07","","Supabase Ticket Archive","Freshdesk
Freshservice","Stores ticket snapshots in Supabase; optional views/reports

Goals
- Persist ticket data in a free DB (Supabase).
- Support SQL-based reporting.

User Stories
- As a data analyst, I want tickets in Supabase for SQL reporting.
- As an admin, I want minimal config (URL + key).
- As a developer, I want a predictable schema.","config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Supabase Ticket Archive. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- iparams: Supabase project URL, anon/service key, table name
- On ticket create, INSERT row with ticket snapshot
- Schema: 
     id, 
     ticket_id, 
     subject,
     requester_email, 
     status, 
     priority,
     tags, 
     created_at, 
     raw_json (optional)
- Create table via migration or doc if not exists
- Use Supabase REST API with API key","- Each new ticket inserts a row in Supabase
- Row contains required fields
- App passes fdk validate
- Invalid credentials produce a clear error
- No sensitive data leaked in logs","iparams (project URL, table name)
Serverless events
Request templates","Medium","Supabase REST API
Auto-generated docs
Supabase API reference","Megha Sanwaliya
Dipankar Achinta"
"50","WSHOP-08","","Email Alert Notifier (Resend)","Freshdesk
Freshservice","Sends email alerts on new or escalated tickets; configurable recipients and subject

Goals
- Alert teams via email without depending on Freshworks email routing.
- Use a free/low-cost provider (Resend).

User Stories
- As a manager, I want email alerts for new high-priority tickets.
- As an admin, I want to set recipient list and filters.
- As a user, I want clear subject and ticket link.","config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Email Alert Notifier (Resend). Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- iparams: Resend API key, comma-separated recipient emails
- On ticket create (or update to escalated), send email
- Optional priority filter (e.g. high/urgent only)
- Subject: “[Alert] Ticket #{id}: {subject}”        
- Body: ticket details + link to ticket
- Use Resend API for sending
- Handle send failures and log","- Eligible tickets result in email to configured recipients
- Email delivered within 2 minutes
- Priority filter behaves as configured
- App passes fdk validate
- Invalid API key produces clear error","iparams (API key, recipient emails)
Serverless events
Request templates","Low","Resend API
Send Email
Resend Docs","Sandeep Bollu"
"51","WSHOP-09","","Trello Card from Ticket","Freshdesk
Freshservice","Creates a Trello card from a ticket; board/list selection; manual or auto on create/escalate

Goals
- Turn tickets into Trello cards for team workflows.
- Support manual and automatic creation.

User Stories
- As an agent, I want to create a Trello card from a ticket.
- As a manager, I want cards auto-created for escalated tickets.
- As an admin, I want to choose board and list.","app,config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Trello Card from Ticket. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- OAuth with Trello or API key
- iparams: board ID, list ID (or name)
- Manual: ticket sidebar button “Create Card”
- Auto: on ticket create or escalate, create card
- Card title = ticket subject; description = ticket body + link
- Show card URL in app after create
- Use Trello REST API
- Crayons UI for hybrid flow","- Card is created with correct title and description
- Ticket link included in card description
- Card appears in configured list
- OAuth or API key flow works
- App passes fdk validate","OAuth (Trello) or API key, 
SMI
Request templates
iparams (board/list IDs)","Medium","Trello REST API  
Trello API Reference
Trello Authorization
Trello Power-Ups","Rahul Ganesh Partheeban"
"52","WSHOP-10","","Notion Ticket Logger","Freshdesk
Freshservice","Adds rows to a Notion database for each new/closed ticket; configurable database and properties

Goals
- Build a ticket log inside Notion.
- Use Notion as a light CRM/reporting layer.

User Stories
- As a team, we want a Notion DB of all tickets.
- As an admin, I want to pick the database.
- As a user, I want search and filters in Notion.","config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Notion Ticket Logger. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- iparams: Notion integration token, database ID
- On ticket create, create Notion page in database
- Map: 
     Ticket ID → property, 
     Subject → Title, 
     Requester, 
     Status, 
     Priority, 
     Created At
- Use Notion API v1 with integration token
- Handle parent page/database structure
- Optional: log on ticket close
- Validate token and database on install","- Each new ticket creates a Notion page
- Properties populated with ticket data
- App passes fdk validate
- Invalid token or database produces clear error
- Integration has required database permissions","iparams (integration token, database ID)
Serverless events
Request templates","Medium","Notion API Overview
Notion API Reference
Notion Authorization","Mohamed Zafraan
Elango Ravikumar"
"53","WSHOP-11","","Linear Issue from Ticket","Freshdesk
Freshservice","Creates a Linear issue from a ticket; team/project selection; manual create and optional auto-create rules

Goals
- Connect support to Linear workflows.
- Include enough context for dev to triage.

User Stories
- As an agent, I want to create a Linear issue from a ticket.
- As an engineer, I want ticket details and link in the issue.
- As an admin, I want to set team and project.","app,config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Linear Issue from Ticket. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- OAuth with Linear or API key
- Ticket sidebar: “Create Linear Issue” button
- iparams: default team ID, project ID (optional)
- Issue title = ticket subject; description = ticket body + requester + link
- Show created issue URL and identifier in sidebar
- Optional: priority/state mapping
- Loading and error states
- Crayons UI components only","- Issue created with correct title and description
- Ticket link present in issue
- Issue appears in correct team/project
- OAuth or API key works
- App passes fdk validate","OAuth (Linear) or API key
SMI
Request templates
Data Methods
Crayons","Medium","Linear Developers
Linear API & Webhooks
Linear GraphQL","Naveen Nagaraj"
"54","WSHOP-12","","Markdown Ticket Export","Freshdesk
Freshservice","Exports ticket details as Markdown; copy to clipboard or send to webhook/file storage

Goals
- Allow agents to copy ticket details in Markdown.
- Optional send to webhook for external storage.

User Stories
- As an agent, I want a Markdown export to paste into docs.
- As a user, I want one-click copy to clipboard.
- As an admin, I want optional webhook for storage.","app,config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Markdown Ticket Export. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- Ticket sidebar UI with export options
- “Copy as Markdown” – format ticket as Markdown and copy to clipboard
- Format: title, requester, status, priority, description, timestamps
- Optional: “Send to webhook” to POST Markdown to URL
- Use data methods to get ticket data
- Crayons UI (button, loading)
- Show success toast on copy with notify method","- Markdown output matches expected structure
- Copy to clipboard works in target browser
- Webhook receives Markdown when configured
- App passes fdk validate
- All key ticket fields present","Hybrid app, client.data.get(""ticket""), Crayons UI, optional request template for storage webhook","Low","Markdown Guide
Clipboard API (MDN)","Jayamohan Kanniappan"
"55","PRD-01","","Freshdesk → Slack thread + Google Calendar event (OAuth)","Freshdesk","On ticket creation, create a Slack message (thread anchor) and a Google Calendar event, with OAuth to Slack and Google, secure tokens, and idempotent execution.

Goals
- Automate ticket-to-collaboration handoff.
- Give agents links to Slack and Calendar from the ticket context.
- Prevent duplicate Slack posts or duplicate calendar events.

User Stories
- As an admin, I want OAuth for Slack and Google configured at install.
- As an agent, I want one Slack thread and one calendar event per new ticket.
- As an operator, I want token refresh and clear errors when APIs fail.","app, config, server","Build a Freshworks Platform app for Freshdesk (Freshdesk → Slack thread + Google Calendar event (OAuth)). Package reference: N/A. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Trigger on ticket creation (Must)
- Create Slack message with ticket id, subject, requester, priority, ticket URL (Must)
- Create Calendar event titled with ticket id + subject; link ticket URL + Slack in description (Must)
- Store OAuth tokens securely; refresh when expired (Must)
- Idempotency: duplicate ticket-create payloads do not create duplicate Slack/Calendar resources (Must)
- Admin/settings surface shows connection health (Should)","- One ticket create produces exactly one Slack message and one Calendar event
- Duplicate delivery of the same ticket-create event does not duplicate Slack or Calendar resources
- Slack and Google OAuth complete independently; token failures are recoverable
- Partial failures (e.g. Slack OK, Google fail) are logged and surfaced per policy
- App passes fdk validate
- No secrets committed in source","OAuth (Slack, Google Calendar)
Serverless events (ticket create)
Request templates (Slack Web API, Google Calendar API)
iparams / secure storage for tokens and channel defaults","High","Slack API · Google Calendar API · Freshworks serverless",""
"56","PRD-02","","Support Intelligence Hub (Crayons UI)","Freshdesk","Full-page dashboard for queue health and trends plus ticket sidebar for contextual insights, using Crayons and secure data access.

Goals
- In-product visibility for managers and agents.
- Consistent, accessible UI aligned to Freshworks patterns.

User Stories
- As a manager, I want KPIs, filters, and tables on a full-page app.
- As an agent, I want ticket summary, related tickets, and a playbook in the sidebar.
- As a user, I want clear loading and error states.","app, config, server","Build a Freshworks Platform app for Freshdesk (Support Intelligence Hub (Crayons UI)). Package reference: N/A. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Full-page dashboard: filters, KPI cards, at least one trend view and one data table (Must)
- Ticket sidebar: ticket summary, related tickets for requester, optional company-level tickets (Must)
- Playbook / checklist in sidebar (Must)
- Crayons components for primary UI; keyboard-accessible controls (Must)
- Server-side data access for privileged operations (Must)
- Admin configuration for defaults where required (Should)","- Dashboard loads with filters, KPIs, and table within acceptable time
- Sidebar renders on ticket detail with summary, related tickets, and playbook
- Loading and error states are user-visible and actionable
- App passes fdk validate
- No secrets in frontend bundles","App locations (full_page_app, ticket_sidebar)
Crayons UI
Data methods / secure server routes for Freshdesk data
Request templates or platform APIs as needed for metrics","Medium","Crayons · Freshdesk data methods · Full-page app",""
"57","PRD-03","","Shopify multi-shop order sidebar (Freshdesk)","Freshdesk","Ticket sidebar federates Shopify orders for the requester across multiple shops with pagination, per-shop errors, and guarded actions (refund, cancel, follow-up ticket).

Goals
- Single-pane order context for agents.
- Safe, auditable actions with private notes.

User Stories
- As an agent, I want orders from all active shops with shop badges.
- As a lead, I want confirmation before refund/cancel and an audit note on the ticket.
- As an admin, I want per-shop tokens and allowed actions configurable.","app, config, server","Build a Freshworks Platform app for Freshdesk (Shopify multi-shop order sidebar (Freshdesk)). Package reference: N/A. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Sidebar loads only when requester email exists (Must)
- Parallel queries per shop with isolated loading/error states (Must)
- Unified timeline sorted newest first; load-more pagination (Must)
- Refund and cancel: confirmation modal, API call, private note with actor/time/shop/outcome (Must)
- Follow-up ticket pre-filled with order + shop context (Must)
- Hide actions based on allowed_actions; disable while in-flight (Must)
- Tokens only in secure storage / iparams — never client localStorage (Must)","- Valid requester shows orders from all configured shops; partial shop failures stay isolated
- Refund/cancel completes and writes the required private note
- Follow-up ticket creation succeeds with pre-filled context
- No API tokens in repo or UI
- App passes fdk validate","App locations (ticket_sidebar)
Request templates (Shopify Admin API per shop, Freshdesk API)
iparams (multi-shop domains, tokens, allowed actions)
Crayons UI (modals, lists, badges)","High","Shopify Admin API · Freshdesk API",""
"58","PRD-04","","Bulk ticket creation with rate-limit handling","Freshdesk","Sidebar action creates many tickets via Freshdesk API in batches with explicit 429 handling, backoff, and concurrency limits.

Goals
- Reliable bulk create under real API limits.
- Observable progress and failures.

User Stories
- As an agent, I want to trigger bulk create from the ticket view.
- As an operator, I want rate limits to backoff and resume safely.
- As an admin, I want clear logs when batches fail.","app, config, server","Build a Freshworks Platform app for Freshdesk (Bulk ticket creation with rate-limit handling). Package reference: N/A. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Primary UI control triggers batched ticket creation (Must)
- Respect Freshdesk rate limits: detect 429, backoff, retry with jitter (Must)
- Cap concurrency; no unbounded parallel creates (Must)
- Summarize successes/failures to the user; structured server logs (Must)
- Idempotent client action where possible to avoid duplicate bulk runs (Should)","- Under simulated 429s, app retries with backoff and completes or surfaces terminal failure clearly
- Batch progress is visible; no silent partial completion
- App passes fdk validate
- No API keys in frontend","App locations (ticket_sidebar)
Request templates (Freshdesk tickets API)
Server-side batching and retry logic
iparams for API key / domain if required","High","Freshdesk API rate limits · Bulk operations",""
